supplier_region,supplier_isic_code,user_region,user_isic_code,value
EU,07,EU,20,400
ROW,07,ROW,20,400
EU,07,EU,24,600
ROW,07,ROW,24,600
EU,07,EU,27,100
ROW,07,ROW,27,100
EU,20,EU,24,50
ROW,20,ROW,24,50
EU,20,EU,27,450
ROW,20,ROW,27,450
EU,20,EU,28,75
ROW,20,ROW,28,75
EU,20,EU,29,50
ROW,20,ROW,29,50
EU,24,EU,27,350
ROW,24,ROW,27,350
EU,24,EU,28,250
ROW,24,ROW,28,250
EU,24,EU,29,300
ROW,24,ROW,29,300
EU,24,EU,42,100
ROW,24,ROW,42,100
EU,27,EU,28,150
ROW,27,ROW,28,150
EU,27,EU,29,600
ROW,27,ROW,29,600
EU,27,EU,35,250
ROW,27,ROW,35,250
EU,27,EU,42,75
ROW,27,ROW,42,75
EU,27,EU,45,25
ROW,27,ROW,45,25
EU,28,EU,29,100
ROW,28,ROW,29,100
EU,28,EU,35,150
ROW,28,ROW,35,150
EU,28,EU,42,200
ROW,28,ROW,42,200
EU,29,EU,35,25
ROW,29,ROW,35,25
EU,29,EU,45,1000
ROW,29,ROW,45,1000
EU,35,EU,07,75
ROW,35,ROW,07,75
EU,35,EU,20,100
ROW,35,ROW,20,100
EU,35,EU,24,125
ROW,35,ROW,24,125
EU,35,EU,27,150
ROW,35,ROW,27,150
EU,35,EU,28,75
ROW,35,ROW,28,75
EU,35,EU,29,150
ROW,35,ROW,29,150
EU,35,EU,42,50
ROW,35,ROW,42,50
EU,35,EU,45,40
ROW,35,ROW,45,40
EU,35,EU,62,60
ROW,35,ROW,62,60
EU,42,EU,35,200
ROW,42,ROW,35,200
EU,42,EU,45,25
ROW,42,ROW,45,25
EU,45,EU,62,15
ROW,45,ROW,62,15
EU,62,EU,07,20
ROW,62,ROW,07,20
EU,62,EU,20,20
ROW,62,ROW,20,20
EU,62,EU,24,20
ROW,62,ROW,24,20
EU,62,EU,27,75
ROW,62,ROW,27,75
EU,62,EU,28,30
ROW,62,ROW,28,30
EU,62,EU,29,75
ROW,62,ROW,29,75
EU,62,EU,35,100
ROW,62,ROW,35,100
EU,62,EU,42,30
ROW,62,ROW,42,30
EU,62,EU,45,50
ROW,62,ROW,45,50
