isic_code,label,total_output
07,Mining of metal ores,500
20,Manufacture of chemicals and chemical products,2400
24,Manufacture of basic metals,3400
27,Manufacture of electrical equipment,4800
28,Manufacture of machinery and equipment n.e.c.,2600
29,"Manufacture of motor vehicles, trailers and semi-trailers",6000
35,"Electricity, gas, steam and air conditioning supply",3200
42,Civil engineering,2000
45,Wholesale and retail trade and repair of motor vehicles,5500
62,"Computer programming, consultancy and related activities",1500
