isic_code,target_code,target_label
07,07,Mining of metal ores
20,20,Manufacture of chemicals and chemical products
24,24,Manufacture of basic metals
27,27,Manufacture of electrical equipment
28,28,Manufacture of machinery and equipment n.e.c.
29,29,"Manufacture of motor vehicles, trailers and semi-trailers"
35,35,"Electricity, gas, steam and air conditioning supply"
42,42,Civil engineering
45,45,Wholesale and retail trade and repair of motor vehicles and motorcycles
62,62,"Computer programming, consultancy and related activities"
